1,2
1,3
1,4
1,5
1,6
1,7
2,8
2,9
2,10
2,11
4,12
4,8
4,9
4,10
4,11
5,13
5,11
5,14
5,15
5,16
5,10
5,8
5,17
6,18
6,8
6,19
6,15
6,11
7,19
13,20
13,21
13,22
13,23
13,24
13,25
13,26
13,27
13,28
13,29
13,30
13,31
13,32
14,33
14,34
14,23
14,35
14,24
14,36
14,37
14,38
14,39
14,40
14,41
18,20
18,22
18,24
18,42
18,38
18,43
18,39
18,44
18,27
11,23
11,24
16,20
16,45
16,29
16,46
16,47
16,39
16,41
10,20
10,21
10,35
10,23
10,29
10,39
10,48
10,49
10,32
8,20
17,22
17,50
17,48
17,29
17,25
19,51
19,37
19,52
19,26
33,53
34,54
34,55
26,56
39,57
39,58
39,59
39,60
25,61
25,62
25,63
25,64
32,65
32,66
32,67
32,68
32,58
32,69
20,61
20,70
42,61
42,63
42,71
27,71
45,61
45,62
45,59
45,72
45,57
45,73
45,74
45,65
45,63
45,58
45,60
45,56
45,75
45,76
31,61
44,77
44,78
44,60
41,53
41,65
41,78
52,61
52,70
52,68
23,62
23,65
23,79
23,80
23,81
23,82
23,68
23,58
29,83
29,65
29,84
29,85
29,56
29,86
29,87
46,61
46,88
46,63
46,89
46,90
46,58
47,91
47,65
51,57
21,61
21,83
21,65
22,76
38,92
38,57
38,65
28,93
28,89
28,66
50,61
50,94
50,83
50,56
50,95
50,57
50,96
50,97
50,89
50,93
50,66
50,84
50,68
50,81
62,98
62,99
62,100
62,101
62,102
71,103
84,98
84,104
84,105
84,106
74,98
74,107
74,108
74,109
74,110
74,111
74,112
54,100
96,113
96,107
96,114
96,115
96,111
96,116
80,108
80,101
80,117
80,118
56,119
95,98
95,101
95,120
95,117
95,121
95,112
95,122
95,123
95,124
60,116
68,125
68,118
75,98
75,101
75,126
75,127
75,110
75,128
75,129
69,130
69,131
69,132
69,117
69,125
64,101
83,98
83,133
83,101
83,134
83,135
83,116
90,125
90,136
90,137
90,138
90,139
85,140
85,141
85,142
85,114
85,115
85,143
85,130
73,144
73,145
78,146
77,147
77,138
93,133
93,142
93,99
93,120
93,148
93,149
93,150
93,151
93,116
79,116
94,101
94,152
65,152
65,101
65,117
65,123
97,153
97,107
97,118
97,116
53,125
86,152
59,146
59,154
59,103
59,116
99,155
106,156
137,157
147,158
116,159
102,160
144,161
146,156
110,159
130,162
105,163
118,164
140,165
140,166
140,167
138,168
149,169
128,170
143,171
143,172
143,173
143,174
98,175
98,176
145,177
142,178
142,179
142,180
142,181
127,157
127,182
127,183
127,162
134,184
160,185
158,186
177,187
170,188
155,189
167,190
174,191
184,186
182,192
171,193
171,194
